Al,"23/02/2024"
 
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
"035720","KAKAO CORP","Comunicazione","Azionario","31.988.569,25","0,16","31.988.569,25","745.681,00","42,90","Corea","Korea Exchange (Stock Market)","KRW"
"SBIN","STATE BANK OF INDIA","Finanziari","Azionario","31.805.210,73","0,16","31.805.210,73","3.475.716,00","9,15","India","National Stock Exchange Of India","INR"
"2882","CATHAY FINANCIAL HOLDING LTD","Finanziari","Azionario","31.695.784,33","0,16","31.695.784,33","22.510.781,00","1,41","Taiwan","Taiwan Stock Exchange","TWD"
"TLKM","TELEKOMUNIKASI INDONESIA","Comunicazione","Azionario","30.772.571,10","0,16","30.772.571,10","117.044.600,00","0,26","Indonesia","Indonesia Stock Exchange","IDR"
"086790","HANA FINANCIAL GROUP INC","Finanziari","Azionario","30.540.560,46","0,16","30.540.560,46","690.170,00","44,25","Corea","Korea Exchange (Stock Market)","KRW"
"TATASTEEL","TATA STEEL LTD","Materiali","Azionario","30.373.033,83","0,16","30.373.033,83","17.321.713,00","1,75","India","National Stock Exchange Of India","INR"
"JIOFIN","JIO FINANCIAL SERVICES LTD","Finanziari","Azionario","30.109.676,80","0,15","30.109.676,80","7.478.957,00","4,03","India","National Stock Exchange Of India","INR"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Finanziari","Azionario","30.064.445,83","0,15","30.064.445,83","12.049.685,00","2,50","Brasile","XBSP","BRL"
"2020","ANTA SPORTS PRODUCTS LTD","Consumi Discrezionali","Azionario","30.002.177,80","0,15","30.002.177,80","2.958.400,00","10,14","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"BBDC4","BANCO BRADESCO PREF SA","Finanziari","Azionario","29.806.551,37","0,15","29.806.551,37","10.762.063,00","2,77","Brasile","XBSP","BRL"
"CEMEXCPO","CEMEX CPO","Materiali","Azionario","29.602.426,97","0,15","29.602.426,97","36.265.618,00","0,82","Messico","Bolsa Mexicana De Valores","MXN"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Finanziari","Azionario","29.401.247,96","0,15","29.401.247,96","2.072.814,00","14,18","Polonia","Warsaw Stock Exchange/Equities/Main Market","PLN"
"OTP","OTP BANK","Finanziari","Azionario","27.499.558,83","0,14","27.499.558,83","567.899,00","48,42","Ungheria","Budapest Stock Exchange","HUF"
"1288","AGRICULTURAL BANK OF CHINA LTD H","Finanziari","Azionario","27.281.144,88","0,14","27.281.144,88","64.489.000,00","0,42","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"BAP","CREDICORP LTD","Finanziari","Azionario","27.266.723,82","0,14","27.266.723,82","159.894,00","170,53","Peru","New York Stock Exchange Inc.","USD"
"9633","NONGFU SPRING LTD H","Generi di largo consumo","Azionario","27.052.857,73","0,14","27.052.857,73","4.735.400,00","5,71","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"1216","UNI-PRESIDENT ENTERPRISES CORP","Generi di largo consumo","Azionario","26.917.982,48","0,14","26.917.982,48","11.210.736,00","2,40","Taiwan","Taiwan Stock Exchange","TWD"
"GFI","GOLD FIELDS LTD","Materiali","Azionario","26.222.814,01","0,13","26.222.814,01","2.083.122,00","12,59","Sud Africa","Johannesburg Stock Exchange","ZAR"
