Al,23/02/2024,,,,,,,,,,
 ,,,,,,,,,,,
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
ADP,AUTOMATIC DATA PROCESSING INC,Industriali,Azionario,"119.799.613,35","0,17","119.799.613,35","468.205,00","255,87",Stati Uniti,NASDAQ,USD
UPS,UNITED PARCEL SERVICE INC CLASS B,Industriali,Azionario,"119.419.151,58","0,17","119.419.151,58","803.466,00","148,63",Stati Uniti,New York Stock Exchange Inc.,USD
CB,CHUBB LTD,Finanziari,Azionario,"119.369.014,67","0,17","119.369.014,67","466.267,00","256,01",Stati Uniti,New York Stock Exchange Inc.,USD
AI,LAIR LIQUIDE SOCIETE ANONYME POUR,Materiali,Azionario,"119.222.099,55","0,17","119.222.099,55","581.380,00","205,07",Francia,Nyse Euronext - Euronext Paris,EUR
REGN,REGENERON PHARMACEUTICALS INC,Salute,Azionario,"117.530.098,40","0,16","117.530.098,40","119.782,00","981,20",Stati Uniti,NASDAQ,USD
CI,CIGNA,Salute,Azionario,"115.756.552,08","0,16","115.756.552,08","336.267,00","344,24",Stati Uniti,New York Stock Exchange Inc.,USD
DE,DEERE,Industriali,Azionario,"115.380.247,30","0,16","115.380.247,30","316.405,00","364,66",Stati Uniti,New York Stock Exchange Inc.,USD
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Generi di largo consumo,Azionario,"114.949.310,22","0,16","114.949.310,22","1.553.789,00","73,98",Stati Uniti,NASDAQ,USD
BP.,BP PLC,Energia,Azionario,"113.214.272,95","0,16","113.214.272,95","19.158.178,00","5,91",Regno unito,London Stock Exchange,GBP
MMC,MARSH & MCLENNAN INC,Finanziari,Azionario,"112.612.747,80","0,16","112.612.747,80","552.972,00","203,65",Stati Uniti,New York Stock Exchange Inc.,USD
CVS,CVS HEALTH CORP,Salute,Azionario,"111.728.163,20","0,16","111.728.163,20","1.447.256,00","77,20",Stati Uniti,New York Stock Exchange Inc.,USD
BSX,BOSTON SCIENTIFIC CORP,Salute,Azionario,"111.026.236,00","0,15","111.026.236,00","1.657.108,00","67,00",Stati Uniti,New York Stock Exchange Inc.,USD
LMT,LOCKHEED MARTIN CORP,Industriali,Azionario,"109.782.983,52","0,15","109.782.983,52","254.646,00","431,12",Stati Uniti,New York Stock Exchange Inc.,USD
